instance,FsbDrop,FsbHeur,FsbSupp1,FsbSupp2,FsbSuppInf,RbpDrop,RbpHeur,RbpSupp1,RbpSupp2,RbpSuppInf
10teams,0.0,899.9,9368.6,85484.6,85484.5,0.0,899.9,62652.6,85623.5,85610.6
air03,0.0,0.2,515.8,1214.3,1214.0,0.0,0.2,334.0,1220.3,1219.2
air04,0.0,899.9,67688.8,68171.0,69630.1,0.0,900.0,85365.8,85789.6,86390.5
air05,0.0,900.0,31003.1,85836.5,86279.8,0.0,899.9,60014.8,86099.3,85296.9
bell3a,0.0,1.8,1355.6,1534.3,651.4,0.0,2.4,453.6,500.5,201.4
bell5,0.0,7.8,1126.8,2768.6,83098.8,0.0,16.7,486.5,1161.8,25948.8
cap6000,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dano3mip,0.0,900.0,17128.6,17132.2,17086.1,0.0,900.0,86172.5,86557.1,85988.7
danoint,0.0,899.9,17686.8,63441.0,85863.9,0.0,899.9,5392.8,27735.3,85950.3
dcmulti,0.0,181.7,2206.7,13341.7,85291.2,0.0,52.5,1076.2,4413.0,85228.8
egout,0.0,79.1,1240.7,12153.5,86134.0,0.0,51.2,1011.7,10607.1,86364.7
enigma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fast0507,0.0,900.0,19032.1,18843.7,18925.2,0.0,900.1,86339.7,85537.7,86235.9
fiber,0.0,899.9,45699.7,85209.6,85250.0,0.0,899.9,10137.6,49624.0,85333.1
fixnet6,0.0,899.9,18219.4,27715.8,3098.2,0.0,392.4,1533.0,2704.7,459.7
flugpl,0.0,2.7,65.8,77.1,10.0,0.0,4.2,132.3,149.6,9.9
gen,0.0,158.4,2929.2,17329.8,65589.7,0.0,309.6,5883.7,68911.5,85387.6
gesa2,0.0,899.9,74860.4,85340.5,85518.4,0.0,899.9,11406.1,77212.9,85351.7
gesa2_o,0.0,899.9,65326.1,85231.3,85492.6,0.0,899.9,12403.3,85232.1,85281.8
gesa3,0.0,899.9,20313.7,85224.8,85351.8,0.0,899.9,44500.2,85340.8,85306.9
gesa3_o,0.0,899.9,27869.7,85287.5,86076.5,0.0,899.9,23695.8,85246.2,86339.5
gt2,0.0,2.4,16.7,2.0,0.3,0.0,10.1,148.1,75.3,25.5
harp2,0.0,899.9,85236.0,85565.5,85804.1,0.0,899.9,22586.8,85861.1,85824.1
khb05250,0.0,130.5,1868.5,2910.6,45756.3,0.0,105.3,3018.6,4149.8,82548.9
l152lav,0.0,722.2,1154.9,9265.7,25683.9,0.0,899.9,5280.0,36478.0,44866.9
lseu,0.0,92.4,755.2,1468.5,7765.1,0.0,23.2,214.6,364.7,238.2
markshare1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
markshare2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
mas74,0.0,724.2,6399.2,14451.4,85208.6,0.0,78.5,1004.7,2184.5,41028.5
mas76,0.0,552.7,5800.3,9013.5,77019.6,0.0,72.9,1072.3,1398.5,8099.3
misc03,0.0,87.5,295.4,965.4,85905.1,0.0,65.4,225.1,692.1,85275.1
misc06,0.0,12.5,298.3,202.4,5308.3,0.0,21.3,492.8,640.7,14847.7
misc07,0.0,899.9,5595.2,34381.3,85314.7,0.0,551.5,1286.2,5671.3,85284.6
mitre,0.0,899.9,75506.7,85404.8,66463.7,0.0,0.2,0.0,0.0,0.0
mkc,0.0,899.9,13401.7,86343.9,45411.0,0.0,899.9,27756.5,85242.4,86144.2
mod008,0.0,259.7,4229.4,2513.5,509.3,0.0,50.0,1245.1,801.6,1368.2
mod010,0.0,170.6,2550.7,19264.5,3614.2,0.0,196.0,784.4,8262.7,18671.5
modglob,0.0,899.9,6097.8,9748.6,86195.3,0.0,117.2,829.8,1232.8,53419.0
noswot,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
nw04,0.0,899.9,85470.5,85657.3,85705.5,0.0,900.0,85349.0,85739.4,85977.1
p0201,0.0,48.5,118.9,1005.8,85236.6,0.0,41.7,122.1,1139.9,85241.9
p0282,0.0,50.8,835.6,5828.5,85396.2,0.0,20.0,320.6,2358.9,85960.9
p0548,0.0,899.9,36792.7,85211.5,85258.4,0.0,18.0,595.1,720.1,3667.4
p2756,0.0,5.2,177.5,1458.9,1488.3,0.0,30.6,1155.3,7157.5,16949.0
pk1,0.0,496.9,2313.8,18448.2,85519.2,0.0,37.3,472.7,3573.4,85810.4
pp08a,0.0,643.7,1658.2,1639.6,1517.2,0.0,52.9,218.7,233.4,201.2
pp08aCUTS,0.0,899.9,2301.3,2259.7,2217.3,0.0,247.8,464.7,428.0,467.0
qiu,0.0,899.9,31908.2,37978.1,32538.7,0.0,899.9,30845.2,31226.4,30202.9
qnet1,0.0,389.3,1481.7,1282.1,1602.9,0.0,295.1,1669.8,1352.7,3785.0
qnet1_o,0.0,281.2,3325.3,2876.8,3856.2,0.0,86.1,3001.3,2435.2,4416.3
rgn,0.0,109.6,1059.6,1036.8,2158.1,0.0,25.0,421.7,524.4,771.2
rout,0.0,899.9,9245.2,48325.5,85545.3,0.0,265.6,1021.4,3333.0,85510.9
set1ch,0.0,899.9,24806.3,85234.5,86166.5,0.0,87.6,561.4,2321.6,1438.6
seymour,0.0,900.0,40424.1,38039.3,48249.2,0.0,900.0,85405.1,86192.0,86354.0
stein27,0.0,49.4,311.8,1321.6,85217.7,0.0,70.9,519.2,2366.0,86072.2
stein45,0.0,456.4,1380.8,15213.8,85450.1,0.0,132.6,387.0,3390.1,85287.5
swath,0.0,899.9,85209.2,86016.7,85445.2,0.0,899.9,15248.2,82646.0,85871.5
vpm1,0.0,211.5,4442.4,3837.6,8366.6,0.0,9.5,499.4,339.1,52.9
vpm2,0.0,667.8,3254.5,3076.1,3085.8,0.0,54.7,547.6,550.4,522.4
Mean,0.0,493.1,16429.8,29298.1,47153.0,0.0,335.5,13453.6,25097.5,45256.1
